order_id,month,city,category,quantity,unit_price,discount,customer_age,rating,revenue,month_dt
ORD0001,2024-11,Hanoi,Electronics,9,527.54,5,65,1.4,4510.47,2024-11-01
ORD0002,2024-12,Hue,Electronics,19,872.75,0,23,1.9,16582.25,2024-12-01
ORD0003,2024-09,Hue,Electronics,18,437.73,20,44,1.9,6303.31,2024-09-01
ORD0004,2024-10,Da Nang,Electronics,6,1411.37,10,35,1.6,7621.4,2024-10-01
ORD0005,2024-06,Hanoi,Electronics,13,238.6,10,56,2.1,2791.62,2024-06-01
ORD0006,2024-01,Can Tho,Sports,4,1947.58,15,23,3.2,6621.77,2024-01-01
ORD0007,2024-11,Hue,Food,19,424.96,0,20,3.6,8074.24,2024-11-01
ORD0008,2024-05,Hanoi,Clothing,4,791.25,15,58,4.3,2690.25,2024-05-01
ORD0009,2024-03,Da Nang,Food,7,1356.84,0,56,3.5,9497.88,2024-03-01
ORD0010,2024-09,HCMC,Clothing,15,789.94,20,32,3.7,9479.28,2024-09-01
ORD0011,2024-01,HCMC,Electronics,11,832.27,0,31,4.7,9154.97,2024-01-01
ORD0012,2024-10,Da Nang,Clothing,16,821.48,15,27,2.1,11172.13,2024-10-01
ORD0013,2024-04,Hue,Sports,9,1506.68,15,55,2.6,11526.1,2024-04-01
ORD0014,2024-04,HCMC,Sports,16,227.27,0,25,1.6,3636.32,2024-04-01
ORD0015,2024-03,Can Tho,Sports,3,800.3,20,47,3.1,1920.72,2024-03-01
ORD0016,2024-09,Hanoi,Electronics,18,1514.21,10,25,2.2,24530.2,2024-09-01
ORD0017,2024-03,Can Tho,Electronics,9,1945.18,5,50,4.7,16631.29,2024-03-01
ORD0018,2024-11,Da Nang,Sports,20,437.88,10,28,3.2,7881.84,2024-11-01
ORD0019,2024-09,Hanoi,Sports,11,1002.78,0,41,4.5,11030.58,2024-09-01
ORD0020,2024-05,HCMC,Electronics,8,1762.12,0,23,3.9,14096.96,2024-05-01
ORD0021,2024-02,Hue,Clothing,5,1336.51,20,28,2.1,5346.04,2024-02-01
ORD0022,2024-10,Can Tho,Clothing,18,1522.77,5,63,2.2,26039.37,2024-10-01
ORD0023,2024-11,Da Nang,Books,17,930.4,5,32,1.3,15025.96,2024-11-01
ORD0024,2024-01,Hue,Sports,8,1197.46,0,22,3.8,9579.68,2024-01-01
ORD0025,2024-01,HCMC,Electronics,2,1726.29,0,50,2.0,3452.58,2024-01-01
ORD0026,2024-11,Can Tho,Clothing,18,308.01,20,54,2.9,4435.34,2024-11-01
ORD0027,2024-08,Can Tho,Clothing,4,239.02,15,40,2.7,812.67,2024-08-01
ORD0028,2024-08,Hanoi,Electronics,2,835.11,10,24,2.0,1503.2,2024-08-01
ORD0029,2024-04,Hue,Books,5,872.67,10,47,2.0,3927.01,2024-04-01
ORD0030,2024-02,Can Tho,Sports,4,148.65,20,18,4.9,475.68,2024-02-01
ORD0031,2024-04,HCMC,Books,16,988.65,15,21,1.7,13445.64,2024-04-01
ORD0032,2024-01,Can Tho,Food,15,606.24,20,60,3.9,7274.88,2024-01-01
ORD0033,2024-03,HCMC,Food,7,1938.98,20,65,3.2,10858.29,2024-03-01
ORD0034,2024-12,Da Nang,Electronics,2,1189.15,20,51,1.6,1902.64,2024-12-01
ORD0035,2024-09,Hanoi,Clothing,3,1210.32,5,43,1.5,3449.41,2024-09-01
ORD0036,2024-10,HCMC,Sports,20,127.5,0,44,3.6,2550.0,2024-10-01
ORD0037,2024-10,Hue,Food,9,448.31,10,33,2.1,3631.31,2024-10-01
ORD0038,2024-03,Da Nang,Books,11,1861.59,0,18,2.8,20477.49,2024-03-01
ORD0039,2024-10,Hanoi,Electronics,18,465.65,10,26,4.7,7543.53,2024-10-01
ORD0040,2024-02,HCMC,Food,10,357.61,20,63,2.2,2860.88,2024-02-01
ORD0041,2024-11,Hue,Electronics,18,633.79,0,26,2.1,11408.22,2024-11-01
ORD0042,2024-02,Hue,Clothing,9,599.42,5,63,2.4,5125.04,2024-02-01
